,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
102,"Boston, MA",Precision Health Economics,"Reporting to the Associate Director, the Research Scientist, Advanced Modeling, is responsible for addressing health economic and health outcomes research...",98bed206eb115e04,"Research Scientist, Advanced Modeling",,,,7 hours,2016-10-17 21:30:39.662904
103,"Boston, MA",Dana-Farber Cancer Institute,"Statisticians collaborate with scientific investigators and other statisticians in the design and analysis of clinical trials, basic translational studies,...",7ec4a4b7a679cfee,Statistician I,,51.6,117,30+ days,2016-10-17 21:30:39.662904
104,"Boston, MA 02116 (South End area)",Wayfair,Algorithms is a group of data scientists within the Pricing & Profitability team responsible for dynamically adjusting the prices and amount of exposure on...,301a7b5c594c3cb3,Data Scientist Intern: Pricing & Profitability Algorithms,,42.6,89,30+ days,2016-10-17 21:30:39.662904
105,"Boston, MA",Decision Resources Group,"Commercial Targeting and Advanced Analytics is a team within D&A that is composed of data scientists, social scientists, developers, and marketing experts....",f00342abd33b2727,"Senior Analyst, Analytics",,54.0,2,6 days,2016-10-17 21:30:39.662904
106,"Boston, MA",Evidera,Broad experience in SLR methods in health economics and/or health services research. This role will also involve scientific responsibility for project...,99e0374d2cd46091,"Research Scientist - Meta Research - Waltham, MA",,42.6,5,16 days,2016-10-17 21:30:39.662904
107,"Boston, MA 02110 (Central area)",Vertex Pharmaceuticals,"Responsible for maintaining excellent working knowledge of medical data, the design and phases of clinical trials, statistics, relevant regulatory requirements,...",073e9d195cf4df0e,Principal Statistical Programmer,,43.8,38,30+ days,2016-10-17 21:30:39.662904
108,"Charlestown, MA 02129 (Fenway-Kenmore area)",Indigo Agriculture,"Clear understanding of data accountabilities and responsibilities among data management staff, field trial staff and research scientists....",dd9dac12bf75ae3a,Data Management Specialist,,,,18 days,2016-10-17 21:30:39.662904
109,"Boston, MA",Northeastern University,"Provide concise briefings, based on the information gathered, consisting of biographical and financial data for use by volunteer leadership and development...",346e7bd84f06f2f9,Research Analyst,,52.800003,191,18 days,2016-10-17 21:30:39.662904
110,"Boston, MA",Smith & Keller,"Design, develop, and optimize our data and analytics system. Our client is looking for a talented Data Scientist to join our rapidly growing team in our New...",6e64068574b26ed4,Python Developer / Data Scientist,,,,22 days,2016-10-17 21:30:39.662904
111,"Medford, MA 02155","Agero, Inc.",5 years of experience building and applying sophisticated statistical models along with data mining and machine learning SKILLS Strong analytical skills with an...,cb8cea591851c2a5,Data Scientist,,,,30+ days,2016-10-17 21:30:39.662904
112,"Cambridge, MA",Amazon Corporate LLC,Dive deep into our data workflows to understand trends and issues and recommend approaches to ensure efficient mitigation....,5a7aff08fd51ee2d,Business Intelligence Engineer,,43.2,9618,17 days,2016-10-17 21:30:39.662904
113,"Burlington, MA",Startekk LLC,"This role will involve using fuzzy logic, predictive modeling, statistics, trend analysis, machine learning and other data analysis techniques to collect,...",f399e73d9213b871,Data Scientist,,,,30+ days,2016-10-17 21:30:39.662904
114,"Cambridge, MA",Panjiva,"Working with our data scientists to turn large scale messy and diverse unstructured data into structured, normalized data....",13caa207a5168cb3,Software Engineer - Data,,,,6 days,2016-10-17 21:30:39.662904
115,"Cambridge, MA",Cogo Labs,"We're not venture capitalists -- we're a collaborative team of engineers, analysts, and entrepreneurs using innovative tools, big data, and intellectual...",8c0b545bd37b15e3,Quantitative Data Analyst,,,,30+ days,2016-10-17 21:30:39.662904
