,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
71,"Washington, DC 20005 (Logan Circle area)",ONE Campaign,"The Data Scientist will be responsible for advising ONE on the potential of data to provide new insights into ONE’s work and mission using advanced data mining,...",04f93ac6c62d82a9,"Data Scientist (Washington, DC)",,54.0,2,30+ days,2016-10-17 21:32:25.026828
72,"Washington, DC",ONE,"The Data Scientist will be responsible for advising ONE on the potential of data to provide new insights into ONE’s work and mission using advanced data mining,...",6b2862afcb74b42c,"Data Scientist (Washington, DC)",,52.800003,33,30+ days,2016-10-17 21:32:25.026828
73,"McLean, VA",Jobspring Partners,Machine Learning and Data Mining. The role is going to be heavy in Machine Learning and Data mining. The company is very exciting and the smaller group of Data...,b8db058a6e0bed00,Data Scientist,"$130,000 - $160,000 a year",40.8,12,4 days,2016-10-17 21:32:25.026828
74,"Reston, VA",Praxis Engineering,"Mentor data scientists to support employee and product development. Programming languages, math/statistics packages, computer science, machine learning,...",87b0d27bfa179faf,Data Scientist,,55.800003,9,7 days,2016-10-17 21:32:25.026828
75,"McLean, VA",Capital One,Principal Data Scientist. At least 3 years’ experience with machine learning. Integrating with external data sources and APIs to discover interesting trends....,b38b9dff604e9372,Principal Data Scientist,,44.4,2904,4 days,2016-10-17 21:32:25.026828
76,"Washington, DC",U.S. Department of Labor,"Or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health...",985936f5ce39e730,Research Statistician,"$77,490 - $119,794 a year",51.0,264,5 days,2016-10-17 21:32:25.026828
77,"Washington, DC",Emerson Howell Nagel & Associates,"Experience with SAS data steps, SAS Macro, Proc SQL, descriptive statistics operations in SAS, and data analysis using SAS, R or Python....",2a9e660cffc7b5b7,Data Scientist/Engineer (4 month contract),,,,30+ days,2016-10-17 21:32:25.026828
78,"Washington, DC 20005 (Logan Circle area)",Google,"The Google Cloud training team already develops and delivers Google Cloud Platform product and solution training to thousands of partners, end-users and...",09cae37580ecb4f9,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...",,52.800003,1219,4 days,2016-10-17 21:32:25.026828
79,"Arlington, VA 22201 (Lyon Village area)",CNA Corp.,3 Support business development efforts and/or marketing activities by interacting with CNA managers and current clients/sponsors on securing follow on work (e.g...,a25406e01e7ebfda,Research Scientist,,,,7 days,2016-10-17 21:32:25.026828
80,"McLean, VA","Cognosante, LLC","Demonstrated knowledge of financial/administrative public health insurance data, clinical health data & clinical data standards, including at least some of the...",72b4f0035b6dce3e,Data Scientist,,44.4,14,4 hours,2016-10-17 21:32:25.026828
