,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
125,"Golden Valley, MN",Honeywell,"O Coordinate with on-site machine shop to design, fabricate, and assemble custom test fixtures and fuel cell devices. Excel, Matlab, Python, R, etc.)....",f019423b24fd5dbd,Engineer/Scientist Resrch III,,44.4,3477,30+ days,2016-10-17 21:42:26.854409
126,"Eagan, MN",Ecolab,Interpret experimental data and communicate results clearly to peers and project teams in written reports and oral presentations....,4d10d2529d1740b5,Lead Chemist,,42.6,574,30+ days,2016-10-17 21:42:26.854409
127,"Minneapolis, MN 55426",General Mills,"Comfortable in basic statistical analysis, modeling, clustering and data mining techniques to identify trends and insights....",8e747058ddf0d3e6,Production Operator/General Laborer,,51.0,560,26 days,2016-10-17 21:42:26.854409
128,"Minneapolis, MN 55432","ATR International, Inc.","With supervision and direction from the study directors and scientists, this position will assist study directors in the execution of chemical/material...",78722e703237b9d6,Lab Technician I,,52.800003,16,11 days,2016-10-17 21:42:26.854409
129,"Minneapolis, MN",Lab Support,"With supervision and direction from the study directors and scientists, this position will assist study directors in the execution of chemical/material...",1054a6a22b796308,Lab Technician I,,43.8,55,8 days,2016-10-17 21:42:26.854409
130,"Saint Paul, MN 55120",Cray,"CRAY) provides innovative systems and solutions enabling scientists and engineers in industry, academia and government to meet existing and future simulation...",a5a8fa09ec9ff8e7,IT Developer/Analyst,,52.800003,3,30+ days,2016-10-17 21:42:26.854409
131,"Saint Paul, MN 55114 (Saint Anthony area)",American Engineering Testing Inc,"Conduct field, laboratory and office activities in a manner consistent with federal, state, and local environmental, health, and safety regulations and AET’s...",387d28b380ccedec,Drill Assistant I,,52.800003,4,30+ days,2016-10-17 21:42:26.854409
132,"Anoka, MN","Anoka County, MN","Provides general administrative support to the Crime Scene Unit deputies, Forensic Scientists, Quality Assurance Manager, and Laboratory Director;...",38b3ff8ad3726046,PROPERTY ROOM TECHNICIAN,$17.44 - $17.96 an hour,,,3 days,2016-10-17 21:42:26.854409
133,"Maplewood, MN",3M,"To comply with these laws, and in conjunction with the review of candidates for those positions within 3M that may present access to export controlled technical...",b72893edb491ba85,"Senior Product Development Scientist* (Maplewood, MN) Job",,51.6,1414,10 days,2016-10-17 21:42:26.854409
134,"Chaska, MN",Entegee,"Works as a team member to manage the work schedule. Generate, prepare and issue routine data for assigned quality reports....",0024420027df5170,Production Scientist - 53239887 - TF,,44.4,21,12 days,2016-10-17 21:42:26.854409
135,"Eagan, MN",Ecolab,"Provide consulting on experimental design, mentoring, and work direction for junior lab scientists. Interpret experimental data and communicate results clearly...",0e57be83fb556a71,Principal Chemist,,42.6,574,30+ days,2016-10-17 21:42:26.854409
136,"Minneapolis, MN",Search Leaders,"The Java & Python engineer is responsible for analyzing diverse sets of imperfect data and finding common patterns, theme and trends by using statistical...",6edf6765f16229d4,Machine Learning Engineer,"$110,000 a year",,,30+ days,2016-10-17 21:42:26.854409
137,"Saint Paul, MN 55114 (Saint Anthony area)",American Engineering Testing Inc,"Our principals, engineers, scientists and certified technicians have decades of practical experience in their areas of specialization....",c7ad30afe9869b48,Division Manager / Principal Engineer - Building Technology,,52.800003,4,7 days,2016-10-17 21:42:26.854409
