,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
71,"Dallas-Fort Worth, TX",Sabre,"If you are interested in challenging work, being part of a global team, and solving complex problems through technology, business intelligence and analytics,...",722572c6124a97ea,Senior Operations Research Analyst,,43.8,137,6 days,2016-10-17 21:38:15.093162
72,"Plano, TX",Capital One,Integrate internal data with external data sources and APIs to discover actionable insights. Evaluate open source and internally-developed modeling and...,e60df667bdbdc5ec,Data Science Intern - Plano Only - Other Amazing Universitie...,,44.4,2904,30+ days,2016-10-17 21:38:15.093162
73,"Dallas, TX",Analytic Recruiting,"Supply Chain, SAS, R, Predictive Modeling, Predictive Analytics, SQL. Data Scientist, Supply Chain sought by Fortune 500 company to be part of a leading-edge...",10302f159effc3d1,Principal Data Scientist - Supply Chain,"$90,000 - $170,000 a year",51.0,2,30+ days,2016-10-17 21:38:15.093162
74,"Dallas, TX",Pivotal Software,The individual will interface directly with customers and collaborate with our Data Scientists on engagements. The Pivotal Data Engineer will be responsible for...,b1a65fb0191cda21,Senior Data Engineer/Presales - Houston,,,,8 days,2016-10-17 21:38:15.093162
75,"Irving, TX",HMS,"Documents project plans, coordinates project tasks and updates project reports to deliver to project team and upper management....",7946aedbf06da90b,"Manager, Data/Sys Bus Analysis",,42.0,482,30+ days,2016-10-17 21:38:15.093162
76,"Dallas, TX",Quality Health Strategies,"Health Integrity, a wholly-owned subsidiary of Quality Health Strategies, Inc., is dedicated to protecting the fiscal and clinical integrity of healthcare...",b736088e433dfef2,Statistician,,,,30+ days,2016-10-17 21:38:15.093162
77,"Plano, TX",AT&T,"Interacts with data scientists and industry experts to understand how data needs to be converted, loaded and presented....",16af0328e4a07a90,Professional Big Data Software Eng BIG DATA,,44.4,14297,30 days,2016-10-17 21:38:15.093162
78,"Arlington, TX",Flood,Obtain and evaluate all relevant information used in completing Flood Zone Determinations. Part Time Flood Map Research Analyst....,4ba143b917c57a1e,Part Time Flood Map Research Analyst,,41.4,5,30+ days,2016-10-17 21:38:15.093162
79,"Plano, TX",AT&T,"And with our Big Data know-how, you’ll discover and develop meaningful insights that inspire continuous innovation....",a506cd9c69a95953,Big Data Technical Co Op I,,44.4,14297,26 days,2016-10-17 21:38:15.093162
80,"Dallas, TX",Nigel Frank International Limited,"Expert skill with Data Analytics. Azure Machine Learning Developer-Dallas,TX-3-6 Months-90-110/hr. If interested, contact me at 646 863 7556 or send your resume...",dbdf28c4b12718c0,"Azure Machine Learning Developer-Dallas,TX-3-6 Months-90-110...",$90 - $110 an hour,39.6,14,6 days,2016-10-17 21:38:15.093162
81,"Arlington, TX 76011 (East area)",ServiceLink National Flood,Obtain and evaluate all relevant information used in completing Flood Zone Determinations. A Flood Map Research Analyst locates commercial and residential...,8a2f5b49111f40fb,Part Time Flood Research Analyst,$9 an hour,,,30+ days,2016-10-17 21:38:15.093162
