,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
45,"Englewood, CO 80112",Comcast,"The successful candidate will work closely with data scientists, quality engineers, source teams, and decision makers to make sense of customer viewing on a...",dad96652d7d2f4b9,Big Data Analyst,,43.8,6371,30+ days,2016-10-17 21:34:50.519659
46,"Denver, CO",Galvanize,"Lead Instructor, Principal Data Engineer - Enterprise. They lead by example and demonstrate from experience what data engineering and data science can do for...",df8eb88510d72ab8,"Lead Instructor, Principal Data Scientist - Enterprise",,60.0,2,7 days,2016-10-17 21:34:50.519659
47,"Boulder, CO",KBI Biopharma,Responsible for the management and professional development of lower level scientists and associates ; Provide technical support for clinical manufacturing and...,16a31841b03f36a3,Sr. Scientist #217,,40.8,3,30+ days,2016-10-17 21:34:50.519659
48,"Denver, CO",10Roof Technology,"Data Scientist, and a UI Developer. Familiar with applications and programming languages commonly used in advanced analytics and machine learning;...",5f67a0e1e01de4a2,"Big Data Developer (Spark, Hadoop, Hive)","$105,000 a year",,,30+ days,2016-10-17 21:34:50.519659
49,"Denver, CO 80202 (Lodo area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Eight years of professional experience working as a Data...",23e638d454862b6b,Manager - Data Scientist,,51.0,1768,25 days,2016-10-17 21:34:50.519659
50,"Denver, CO",xentity corporation,"We are looking for data analysts, data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities....",18b3bd51e90756ae,Data Analyst,,,,30+ days,2016-10-17 21:34:50.519659
51,"Denver, CO",U.S. Bank,"The overall structure is designed to promote effective governance and risk with the goal to assess and/or manage risks that may impact the company, including...",92644d499bc21cc6,Quantitative Model Risk Analyst,,43.2,2961,29 days,2016-10-17 21:34:50.519659
52,"Golden, CO",National Renewable Energy Laboratory,"The candidate must be willing to work in an interdisciplinary field, together with scientists, engineers, policy analysts, and computer scientists, and will...",d56315ff7316b6a1,Energy Modeler - Engineer II,,42.0,26,17 days,2016-10-17 21:34:50.519659
53,"Greenwood Village, CO",Charter Communications,"Responsible for data and decision discovery, development of analytics data set assets, modeling, and delivering big data operational analytics solutions....",ed7aa68aef1974ba,"Director, Advanced Analytics",,42.6,1351,30+ days,2016-10-17 21:34:50.519659
54,"Boulder, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",43759c01798ab866,Principal Structural Engineer - Structural Analyst (659743),,43.2,35,6 days,2016-10-17 21:34:50.519659
55,"Denver, CO",ViaSat,"Once you submit your resume, we’ll send you an automated response to let you know it has been received, and someone from the recruiting group will follow up...",14ff7df1708da7b0,Intern - Marketing Research Analyst,,43.2,61,30+ days,2016-10-17 21:34:50.519659
56,"Boulder, CO 80305 (Central Boulder area)",Scaled Agile,"You will synthesize insights through the vast amount of data captured by Scaled Agile, Google Analytics, Quickbooks, YM, Salesforce other systems to develop...",c2af148c4e31470e,Data Scientist,,,,30+ days,2016-10-17 21:34:50.519659
57,"Englewood, CO 80112","Arrow Electronics, Inc.",3 years experience developing and implementing decision support systems in a business intelligence analyst or data scientist role....,8400d4140bcf153b,Big Data Developer I,,42.6,276,30+ days,2016-10-17 21:34:50.519659
58,"Boulder, CO",LENA Research Foundation,"Experience supervising small teams of engineers and scientists. You will work in collaboration with leading scientists in child language development, speech and...",b2cc43fd50039586,Sr. Research Engineer: Machine Learning and Computational Li...,,,,30+ days,2016-10-17 21:34:50.519659
59,"Golden, CO",National Renewable Energy Laboratory,Impacts of connected and automated vehicles on travel behavior (both personal and freight) and on overall transportation energy consumption.Working with large...,4c13663b4d9fc186,Postdoctoral Researcher-Transportation Data and Analysis,,42.0,26,28 days,2016-10-17 21:34:50.519659
60,"Lakewood, CO",Pacific Metrics,"Under the direct supervision of the Director of Machine Scoring, the Research Associate is responsible for supporting work related to automated scoring of...",7640a34b6f2405f1,Research Associate,,,,19 days,2016-10-17 21:34:50.519659
61,"Boulder, CO",KBI Biopharma,"May lead either the upstream or downstream portion of development, process characterization, and/or technology transfer programs, acting as subject matter...",91a7ed1bd0c49244,PD Scientist II-DSP #230,,40.8,3,6 days,2016-10-17 21:34:50.519659
62,"Boulder, CO",University of Colorado,"Scientists to convert text or binary data into NetCDF4 format, and convert text. Work directly with scientists and technicians; Earth Data Initiative....",a7fb6c0efbd1bc20,Professional Research Asst,,51.6,140,19 days,2016-10-17 21:34:50.519659
63,"Golden, CO",National Renewable Energy Laboratory,"Impacts from alternative fuel vehicle technologies and their supporting infrastructure (such as electrified vehicles/charging infrastructure, fuel cell vehicles...",5a655dc7e0cac78c,Internship (Year Round)-Transportation Data and Advanced Veh...,,42.0,26,30+ days,2016-10-17 21:34:50.519659
64,"Denver, CO 80226",Lauren Enterprises,"Looking for a Food Scientist:. Laboratory experience that includes product formulation for soaps, cleansers, health foods, or related fields....",5401a6c16cfd1fcc,Food Scientist: Chemistry & Formulations,"$35,000 a year",,,4 days,2016-10-17 21:34:50.519659
65,"Denver, CO",xentity corporation,"We are looking for GIS-specific data analysts, data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities....",97d4078677a2df50,GIS Data Systems Analysts,,,,30+ days,2016-10-17 21:34:50.519659
66,"Denver, CO 80202 (Lodo area)",KPMG,"Lead the design and development of tools and solutions working with data scientists, data integration teams and visualization experts to deliver analysis that...",3ea0a30cb63d96b6,"Manager, Tax Technology - Machine Learning",,51.0,1768,10 days,2016-10-17 21:34:50.519659
67,"Aurora, CO 80011 (Norfolk Glen area)",Children's Hospital Colorado,Prefer 3 years experience in clinical research or clinical research informatics. The RIA 1 will consult on the data requirements of research studies and provide...,2e2e5f6888d879d7,Research Informatics Analyst I,,51.6,57,30+ days,2016-10-17 21:34:50.519659
68,"Denver, CO",CoBank,"We also provide competitive compensation, health and wellness benefits, company-funded retirement plan, matching 401(k), and professional development programs....",a30a62313b7277b5,Senior Quantitative Risk Analyst,,42.6,12,23 days,2016-10-17 21:34:50.519659
69,"Denver, CO",ICF,"We are business analysts, policy specialists, technologists, researchers, digital strategists, social scientists and creatives....",3c4f157ecac2d897,Wind Energy Practice Consultant,,41.4,234,3 days,2016-10-17 21:34:50.519659
70,"Golden, CO",National Renewable Energy Laboratory,"Work with scientific data management researchers, data scientists, software and application programmers, renewable energy scientists and other stakeholders to...",7cbcefc1ad06fe4a,Scientific Data Systems Support Specialist,,42.0,26,30+ days,2016-10-17 21:34:50.519659
71,"Boulder, CO",Markit Financial Info Service,"Use data mining, machine learning, and other techniques to identify and interpret trends or patterns from complex financial data....",beb3e6a58677dafe,"Data Scientist, Markit Digital",,,,30+ days,2016-10-17 21:34:50.519659
72,"Lakewood, CO",Natural Grocers,"Our customers have come to rely on our highly trained staff, in-store literature, nutrition counseling, educational lectures, practitioner referrals, and health...",ed0675b696ecc191,Purchasing Data and Analysis Assistant Manager,,41.4,54,4 days,2016-10-17 21:34:50.519659
73,"Denver, CO 80202 (Lodo area)",KPMG,"Lead the design and development of tools and solutions working with data scientists, data integration teams and visualization experts to deliver analysis that...",19ad2e488523db0b,"Manager, Tax Technology - Data Analytics",,51.0,1768,11 days,2016-10-17 21:34:50.519659
74,"Denver, CO",JLL,Attend all relevant sales or business team meetings and actively contribute local or national research insights....,84f441cadb50d390,GIS / Research Analyst,,43.8,759,30+ days,2016-10-17 21:34:50.519659
75,"Aurora, CO",Atara Biotherapeutics,Leads technical development and execution of novel clinical correlative assays to support clinical trials. Functions as a lead scientist to support development...,04d0ee7d8de73f48,Lead Scientist - Preclinical & Translational Science,,,,23 days,2016-10-17 21:34:50.519659
76,"Englewood, CO",Leidos,"Leidos is a global science and technology solutions leader working to solve the world's toughest challenges in the defense, intelligence, homeland security,...",8df7c243b2195e42,Senior Technical Research Analyst,,43.8,187,1 day,2016-10-17 21:34:50.519659
77,"Englewood, CO",Leidos,"Leidos is a global science and technology solutions leader working to solve the world's toughest challenges in the defense, intelligence, homeland security,...",ed49e15a67bc3f7d,Sr. Air Force Operations Research Analyst,,43.8,187,9 days,2016-10-17 21:34:50.519659
78,"Boulder, CO",UCAR,"Provides input/makes recommendations for project leaders’ decisions in areas such as project design, major purchases, and new hires....",76fbbf54451c6292,Project Scientist I - Inverse Modeling,,44.4,10,30+ days,2016-10-17 21:34:50.519659
79,"Boulder, CO 80301","SomaLogic, Inc.","We are a dedicated team of scientists, bioinformaticians, statisticians, and software developers working to build tools that change the way proteomic research...",b48c330192ab070e,Research Scientist/Scientist I/Scientist II 2016-088,,,,18 days,2016-10-17 21:34:50.519659
80,"Aurora, CO",University of Colorado,"The collaborative research group is comprised of other biostatisticians, epidemiologists and clinical research scientists....",d8d7ab2feb299744,Research Instructor,,51.6,140,30+ days,2016-10-17 21:34:50.519659
81,"Westminster, CO",DigitalGlobe,Collaborate with our scientists & engineers to understand & move their algorithms onto the GBD platform. DigitalGlobe's Geospatial Big Data (GBD) initiative...,f7cd9d54cd87a83c,Python Development Engineer/Geospatial Big Data,,43.2,52,30+ days,2016-10-17 21:34:50.519659
82,"Boulder, CO",Southwest Research Institute,"Experience publishing scientific research papers that build on existing available data sets; Requires a PhD degree in Applied Physics, Astronomy, Astrophysics,...",9ca9df0a8fea4e05,RESEARCH SCIENTIST - HELIOPHYSICS,,53.4,62,30+ days,2016-10-17 21:34:50.519659
83,"Golden, CO",xentity corporation,"But you want to do it on actual interesting problems and be mentored by true data scientists, computer scientists, geospatial architects, agile project managers...",a9a5d048aff6a7e9,Data Science Analyst (Intern),,,,30+ days,2016-10-17 21:34:50.519659
84,"Boulder, CO",Markit,"Use data mining, machine learning, and other techniques to identify and interpret trends or patterns from complex financial data....",380a7e7465d38b00,"Data Scientist, Markit Digital",,41.4,34,30+ days,2016-10-17 21:34:50.519659
